urun,kategori,uygunluk_pct,sulama_ihtiyac_mm,sulama_yontem,ekim_aylari,hasat_aylari,bakim,kar_potansiyel,emoji,il,ilce
Mısır,Tahıl,97.1,600,Damla veya Yağmurlama,"Nisan, Mayıs","Eylül, Ekim",Yüksek su ihtiyacı. Sıcak iklim sever. Düzenli sulama şart.,Yüksek,🌽,Adana,Feke
Elma,Meyve,97.1,600,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Soğuk kış gerektirir. Yüksek rakımda iyi gelişir. Budama önemli.,Yüksek,🍎,Adana,Feke
Biber,Sebze,95.8,650,Damla,"Mart, Nisan","Temmuz, Ağustos, Eylül, Ekim",Sıcak ve güneşli sever. Düzenli sulama. Sera ile yıl uzatılabilir.,Yüksek,🌶️,Adana,Feke
Patates,Sebze,90.9,500,Yağmurlama,"Mart, Nisan","Temmuz, Ağustos, Eylül",Serin iklim sever. Yüksek rakımda kaliteli. Düzenli sulama.,Orta-Yüksek,🥔,Adana,Feke
Mısır,Tahıl,99.3,600,Damla veya Yağmurlama,"Nisan, Mayıs","Eylül, Ekim",Yüksek su ihtiyacı. Sıcak iklim sever. Düzenli sulama şart.,Yüksek,🌽,Adana,Karaisalı
Domates,Sebze,97.5,700,Damla,"Mart, Nisan, Mayıs","Temmuz, Ağustos, Eylül",Sıcak iklim sever. Damla sulama ile %40 su tasarrufu. Hastalığa dikkat.,Yüksek,🍅,Adana,Karaisalı
Biber,Sebze,93.5,650,Damla,"Mart, Nisan","Temmuz, Ağustos, Eylül, Ekim",Sıcak ve güneşli sever. Düzenli sulama. Sera ile yıl uzatılabilir.,Yüksek,🌶️,Adana,Karaisalı
Pamuk,Endüstriyel,92.0,800,Damla veya Yüzey,"Nisan, Mayıs","Eylül, Ekim, Kasım",Sıcak iklim şart. Çukurova ve GAP bölgesine uygun. Çok sulama.,Yüksek,🌿,Adana,Karaisalı
Patates,Sebze,88.3,500,Yağmurlama,"Mart, Nisan","Temmuz, Ağustos, Eylül",Serin iklim sever. Yüksek rakımda kaliteli. Düzenli sulama.,Orta-Yüksek,🥔,Adana,Karaisalı
Domates,Sebze,49.8,700,Damla,"Mart, Nisan, Mayıs","Temmuz, Ağustos, Eylül",Sıcak iklim sever. Damla sulama ile %40 su tasarrufu. Hastalığa dikkat.,Yüksek,🍅,Adana,Karataş
Biber,Sebze,46.7,650,Damla,"Mart, Nisan","Temmuz, Ağustos, Eylül, Ekim",Sıcak ve güneşli sever. Düzenli sulama. Sera ile yıl uzatılabilir.,Yüksek,🌶️,Adana,Karataş
Mısır,Tahıl,46.2,600,Damla veya Yağmurlama,"Nisan, Mayıs","Eylül, Ekim",Yüksek su ihtiyacı. Sıcak iklim sever. Düzenli sulama şart.,Yüksek,🌽,Adana,Karataş
Elma,Meyve,46.2,600,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Soğuk kış gerektirir. Yüksek rakımda iyi gelişir. Budama önemli.,Yüksek,🍎,Adana,Karataş
Patates,Sebze,42.0,500,Yağmurlama,"Mart, Nisan","Temmuz, Ağustos, Eylül",Serin iklim sever. Yüksek rakımda kaliteli. Düzenli sulama.,Orta-Yüksek,🥔,Adana,Karataş
Pamuk,Endüstriyel,99.4,800,Damla veya Yüzey,"Nisan, Mayıs","Eylül, Ekim, Kasım",Sıcak iklim şart. Çukurova ve GAP bölgesine uygun. Çok sulama.,Yüksek,🌿,Adana,Kozan
Mısır,Tahıl,90.2,600,Damla veya Yağmurlama,"Nisan, Mayıs","Eylül, Ekim",Yüksek su ihtiyacı. Sıcak iklim sever. Düzenli sulama şart.,Yüksek,🌽,Adana,Kozan
Domates,Sebze,88.3,700,Damla,"Mart, Nisan, Mayıs","Temmuz, Ağustos, Eylül",Sıcak iklim sever. Damla sulama ile %40 su tasarrufu. Hastalığa dikkat.,Yüksek,🍅,Adana,Kozan
Biber,Sebze,83.0,650,Damla,"Mart, Nisan","Temmuz, Ağustos, Eylül, Ekim",Sıcak ve güneşli sever. Düzenli sulama. Sera ile yıl uzatılabilir.,Yüksek,🌶️,Adana,Kozan
Patates,Sebze,76.0,500,Yağmurlama,"Mart, Nisan","Temmuz, Ağustos, Eylül",Serin iklim sever. Yüksek rakımda kaliteli. Düzenli sulama.,Orta-Yüksek,🥔,Adana,Kozan
Pamuk,Endüstriyel,98.7,800,Damla veya Yüzey,"Nisan, Mayıs","Eylül, Ekim, Kasım",Sıcak iklim şart. Çukurova ve GAP bölgesine uygun. Çok sulama.,Yüksek,🌿,Adana,Pozantı
Mısır,Tahıl,87.5,600,Damla veya Yağmurlama,"Nisan, Mayıs","Eylül, Ekim",Yüksek su ihtiyacı. Sıcak iklim sever. Düzenli sulama şart.,Yüksek,🌽,Adana,Pozantı
Domates,Sebze,85.9,700,Damla,"Mart, Nisan, Mayıs","Temmuz, Ağustos, Eylül",Sıcak iklim sever. Damla sulama ile %40 su tasarrufu. Hastalığa dikkat.,Yüksek,🍅,Adana,Pozantı
Biber,Sebze,80.3,650,Damla,"Mart, Nisan","Temmuz, Ağustos, Eylül, Ekim",Sıcak ve güneşli sever. Düzenli sulama. Sera ile yıl uzatılabilir.,Yüksek,🌶️,Adana,Pozantı
Buğday,Tahıl,69.5,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Adana,Pozantı
Mısır,Tahıl,99.3,600,Damla veya Yağmurlama,"Nisan, Mayıs","Eylül, Ekim",Yüksek su ihtiyacı. Sıcak iklim sever. Düzenli sulama şart.,Yüksek,🌽,Adana,Saimbeyli
Domates,Sebze,96.3,700,Damla,"Mart, Nisan, Mayıs","Temmuz, Ağustos, Eylül",Sıcak iklim sever. Damla sulama ile %40 su tasarrufu. Hastalığa dikkat.,Yüksek,🍅,Adana,Saimbeyli
Pamuk,Endüstriyel,93.0,800,Damla veya Yüzey,"Nisan, Mayıs","Eylül, Ekim, Kasım",Sıcak iklim şart. Çukurova ve GAP bölgesine uygun. Çok sulama.,Yüksek,🌿,Adana,Saimbeyli
Biber,Sebze,92.2,650,Damla,"Mart, Nisan","Temmuz, Ağustos, Eylül, Ekim",Sıcak ve güneşli sever. Düzenli sulama. Sera ile yıl uzatılabilir.,Yüksek,🌶️,Adana,Saimbeyli
Patates,Sebze,86.7,500,Yağmurlama,"Mart, Nisan","Temmuz, Ağustos, Eylül",Serin iklim sever. Yüksek rakımda kaliteli. Düzenli sulama.,Orta-Yüksek,🥔,Adana,Saimbeyli
Buğday,Tahıl,85.5,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Adana,Sarıçam
Soğan,Sebze,79.8,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Adana,Sarıçam
Arpa,Tahıl,79.1,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Adana,Sarıçam
Mısır,Tahıl,64.3,600,Damla veya Yağmurlama,"Nisan, Mayıs","Eylül, Ekim",Yüksek su ihtiyacı. Sıcak iklim sever. Düzenli sulama şart.,Yüksek,🌽,Adana,Sarıçam
Domates,Sebze,62.2,700,Damla,"Mart, Nisan, Mayıs","Temmuz, Ağustos, Eylül",Sıcak iklim sever. Damla sulama ile %40 su tasarrufu. Hastalığa dikkat.,Yüksek,🍅,Adana,Sarıçam
Buğday,Tahıl,83.1,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Adana,Seyhan
Arpa,Tahıl,76.6,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Adana,Seyhan
Mısır,Tahıl,48.2,600,Damla veya Yağmurlama,"Nisan, Mayıs","Eylül, Ekim",Yüksek su ihtiyacı. Sıcak iklim sever. Düzenli sulama şart.,Yüksek,🌽,Adana,Seyhan
Elma,Meyve,48.0,600,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Soğuk kış gerektirir. Yüksek rakımda iyi gelişir. Budama önemli.,Yüksek,🍎,Adana,Seyhan
Domates,Sebze,45.4,700,Damla,"Mart, Nisan, Mayıs","Temmuz, Ağustos, Eylül",Sıcak iklim sever. Damla sulama ile %40 su tasarrufu. Hastalığa dikkat.,Yüksek,🍅,Adana,Seyhan
Buğday,Tahıl,99.7,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Adana,Tufanbeyli
Arpa,Tahıl,94.9,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Adana,Tufanbeyli
Soğan,Sebze,72.0,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Adana,Tufanbeyli
Ayçiçeği,Yağlı Tohum,64.4,400,Yağmurlama,"Nisan, Mayıs","Ağustos, Eylül","Kuraklığa orta dayanıklı. Derin köklü, az sulama yeterli.",Orta-Yüksek,🌻,Adana,Tufanbeyli
Üzüm (Bağ),Meyve,63.0,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Adana,Tufanbeyli
Mısır,Tahıl,48.3,600,Damla veya Yağmurlama,"Nisan, Mayıs","Eylül, Ekim",Yüksek su ihtiyacı. Sıcak iklim sever. Düzenli sulama şart.,Yüksek,🌽,Adana,Yumurtalık
Elma,Meyve,48.3,600,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Soğuk kış gerektirir. Yüksek rakımda iyi gelişir. Budama önemli.,Yüksek,🍎,Adana,Yumurtalık
Domates,Sebze,45.4,700,Damla,"Mart, Nisan, Mayıs","Temmuz, Ağustos, Eylül",Sıcak iklim sever. Damla sulama ile %40 su tasarrufu. Hastalığa dikkat.,Yüksek,🍅,Adana,Yumurtalık
Pamuk,Endüstriyel,43.7,800,Damla veya Yüzey,"Nisan, Mayıs","Eylül, Ekim, Kasım",Sıcak iklim şart. Çukurova ve GAP bölgesine uygun. Çok sulama.,Yüksek,🌿,Adana,Yumurtalık
Biber,Sebze,41.1,650,Damla,"Mart, Nisan","Temmuz, Ağustos, Eylül, Ekim",Sıcak ve güneşli sever. Düzenli sulama. Sera ile yıl uzatılabilir.,Yüksek,🌶️,Adana,Yumurtalık
Buğday,Tahıl,85.5,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Adana,Yüreğir
Arpa,Tahıl,79.1,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Adana,Yüreğir
Soğan,Sebze,58.7,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Adana,Yüreğir
Mısır,Tahıl,56.2,600,Damla veya Yağmurlama,"Nisan, Mayıs","Eylül, Ekim",Yüksek su ihtiyacı. Sıcak iklim sever. Düzenli sulama şart.,Yüksek,🌽,Adana,Yüreğir
Domates,Sebze,54.2,700,Damla,"Mart, Nisan, Mayıs","Temmuz, Ağustos, Eylül",Sıcak iklim sever. Damla sulama ile %40 su tasarrufu. Hastalığa dikkat.,Yüksek,🍅,Adana,Yüreğir
Mısır,Tahıl,48.0,600,Damla veya Yağmurlama,"Nisan, Mayıs","Eylül, Ekim",Yüksek su ihtiyacı. Sıcak iklim sever. Düzenli sulama şart.,Yüksek,🌽,Adana,Çukurova
Elma,Meyve,48.0,600,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Soğuk kış gerektirir. Yüksek rakımda iyi gelişir. Budama önemli.,Yüksek,🍎,Adana,Çukurova
Domates,Sebze,45.1,700,Damla,"Mart, Nisan, Mayıs","Temmuz, Ağustos, Eylül",Sıcak iklim sever. Damla sulama ile %40 su tasarrufu. Hastalığa dikkat.,Yüksek,🍅,Adana,Çukurova
Pamuk,Endüstriyel,43.9,800,Damla veya Yüzey,"Nisan, Mayıs","Eylül, Ekim, Kasım",Sıcak iklim şart. Çukurova ve GAP bölgesine uygun. Çok sulama.,Yüksek,🌿,Adana,Çukurova
Biber,Sebze,40.9,650,Damla,"Mart, Nisan","Temmuz, Ağustos, Eylül, Ekim",Sıcak ve güneşli sever. Düzenli sulama. Sera ile yıl uzatılabilir.,Yüksek,🌶️,Adana,Çukurova
Patates,Sebze,77.0,500,Yağmurlama,"Mart, Nisan","Temmuz, Ağustos, Eylül",Serin iklim sever. Yüksek rakımda kaliteli. Düzenli sulama.,Orta-Yüksek,🥔,Adana,İmamoğlu
Buğday,Tahıl,76.6,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Adana,İmamoğlu
Pamuk,Endüstriyel,75.8,800,Damla veya Yüzey,"Nisan, Mayıs","Eylül, Ekim, Kasım",Sıcak iklim şart. Çukurova ve GAP bölgesine uygun. Çok sulama.,Yüksek,🌿,Adana,İmamoğlu
Şeker Pancarı,Endüstriyel,68.3,550,Damla,"Mart, Nisan","Ekim, Kasım",Derin toprak sever. Düzenli sulama gerekli. Fabrika sözleşmeli.,Yüksek,🟫,Adana,İmamoğlu
Üzüm (Bağ),Meyve,68.3,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Adana,İmamoğlu
Buğday,Tahıl,91.0,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Adıyaman,Besni
Arpa,Tahıl,85.0,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Adıyaman,Besni
Soğan,Sebze,59.8,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Adıyaman,Besni
Patates,Sebze,53.0,500,Yağmurlama,"Mart, Nisan","Temmuz, Ağustos, Eylül",Serin iklim sever. Yüksek rakımda kaliteli. Düzenli sulama.,Orta-Yüksek,🥔,Adıyaman,Besni
Biber,Sebze,52.5,650,Damla,"Mart, Nisan","Temmuz, Ağustos, Eylül, Ekim",Sıcak ve güneşli sever. Düzenli sulama. Sera ile yıl uzatılabilir.,Yüksek,🌶️,Adıyaman,Besni
Buğday,Tahıl,85.6,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Adıyaman,Gerger
Arpa,Tahıl,79.3,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Adıyaman,Gerger
Soğan,Sebze,54.8,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Adıyaman,Gerger
Mısır,Tahıl,53.6,600,Damla veya Yağmurlama,"Nisan, Mayıs","Eylül, Ekim",Yüksek su ihtiyacı. Sıcak iklim sever. Düzenli sulama şart.,Yüksek,🌽,Adıyaman,Gerger
Domates,Sebze,51.7,700,Damla,"Mart, Nisan, Mayıs","Temmuz, Ağustos, Eylül",Sıcak iklim sever. Damla sulama ile %40 su tasarrufu. Hastalığa dikkat.,Yüksek,🍅,Adıyaman,Gerger
Buğday,Tahıl,91.8,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Adıyaman,Gölbaşı
Soğan,Sebze,87.7,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Adıyaman,Gölbaşı
Arpa,Tahıl,85.9,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Adıyaman,Gölbaşı
Ayçiçeği,Yağlı Tohum,60.4,400,Yağmurlama,"Nisan, Mayıs","Ağustos, Eylül","Kuraklığa orta dayanıklı. Derin köklü, az sulama yeterli.",Orta-Yüksek,🌻,Adıyaman,Gölbaşı
Patates,Sebze,60.2,500,Yağmurlama,"Mart, Nisan","Temmuz, Ağustos, Eylül",Serin iklim sever. Yüksek rakımda kaliteli. Düzenli sulama.,Orta-Yüksek,🥔,Adıyaman,Gölbaşı
Buğday,Tahıl,97.3,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Adıyaman,Kahta
Arpa,Tahıl,91.8,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Adıyaman,Kahta
Soğan,Sebze,63.4,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Adıyaman,Kahta
Ayçiçeği,Yağlı Tohum,57.0,400,Yağmurlama,"Nisan, Mayıs","Ağustos, Eylül","Kuraklığa orta dayanıklı. Derin köklü, az sulama yeterli.",Orta-Yüksek,🌻,Adıyaman,Kahta
Üzüm (Bağ),Meyve,55.3,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Adıyaman,Kahta
Buğday,Tahıl,90.2,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Adıyaman,Merkez
Soğan,Sebze,85.7,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Adıyaman,Merkez
Arpa,Tahıl,84.1,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Adıyaman,Merkez
Patates,Sebze,57.6,500,Yağmurlama,"Mart, Nisan","Temmuz, Ağustos, Eylül",Serin iklim sever. Yüksek rakımda kaliteli. Düzenli sulama.,Orta-Yüksek,🥔,Adıyaman,Merkez
Ayçiçeği,Yağlı Tohum,57.5,400,Yağmurlama,"Nisan, Mayıs","Ağustos, Eylül","Kuraklığa orta dayanıklı. Derin köklü, az sulama yeterli.",Orta-Yüksek,🌻,Adıyaman,Merkez
Buğday,Tahıl,56.6,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Adıyaman,Samsat
Arpa,Tahıl,51.6,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Adıyaman,Samsat
Ayçiçeği,Yağlı Tohum,49.8,400,Yağmurlama,"Nisan, Mayıs","Ağustos, Eylül","Kuraklığa orta dayanıklı. Derin köklü, az sulama yeterli.",Orta-Yüksek,🌻,Adıyaman,Samsat
Soğan,Sebze,48.1,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Adıyaman,Samsat
Üzüm (Bağ),Meyve,48.1,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Adıyaman,Samsat
Buğday,Tahıl,85.2,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Adıyaman,Sincik
Soğan,Sebze,79.4,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Adıyaman,Sincik
Arpa,Tahıl,78.8,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Adıyaman,Sincik
Mısır,Tahıl,60.0,600,Damla veya Yağmurlama,"Nisan, Mayıs","Eylül, Ekim",Yüksek su ihtiyacı. Sıcak iklim sever. Düzenli sulama şart.,Yüksek,🌽,Adıyaman,Sincik
Domates,Sebze,57.3,700,Damla,"Mart, Nisan, Mayıs","Temmuz, Ağustos, Eylül",Sıcak iklim sever. Damla sulama ile %40 su tasarrufu. Hastalığa dikkat.,Yüksek,🍅,Adıyaman,Sincik
Buğday,Tahıl,86.8,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Adıyaman,Tut
Arpa,Tahıl,80.5,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Adıyaman,Tut
Soğan,Sebze,53.5,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Adıyaman,Tut
Domates,Sebze,51.1,700,Damla,"Mart, Nisan, Mayıs","Temmuz, Ağustos, Eylül",Sıcak iklim sever. Damla sulama ile %40 su tasarrufu. Hastalığa dikkat.,Yüksek,🍅,Adıyaman,Tut
Mısır,Tahıl,50.7,600,Damla veya Yağmurlama,"Nisan, Mayıs","Eylül, Ekim",Yüksek su ihtiyacı. Sıcak iklim sever. Düzenli sulama şart.,Yüksek,🌽,Adıyaman,Tut
Pamuk,Endüstriyel,48.9,800,Damla veya Yüzey,"Nisan, Mayıs","Eylül, Ekim, Kasım",Sıcak iklim şart. Çukurova ve GAP bölgesine uygun. Çok sulama.,Yüksek,🌿,Adıyaman,Çelikhan
Buğday,Tahıl,39.5,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Adıyaman,Çelikhan
Mısır,Tahıl,37.7,600,Damla veya Yağmurlama,"Nisan, Mayıs","Eylül, Ekim",Yüksek su ihtiyacı. Sıcak iklim sever. Düzenli sulama şart.,Yüksek,🌽,Adıyaman,Çelikhan
Elma,Meyve,37.7,600,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Soğuk kış gerektirir. Yüksek rakımda iyi gelişir. Budama önemli.,Yüksek,🍎,Adıyaman,Çelikhan
Fındık,Sert Kabuklu,37.4,200,Yağışa bağlı / Damla,"Kasım, Aralık","Ağustos, Eylül",Karadeniz iklimine uygun. Eğimli arazide yetişir. Az bakım.,Çok Yüksek,🌰,Adıyaman,Çelikhan
Arpa,Tahıl,94.2,350,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz",Kuraklığa dayanıklı. Az sulama ile yetişir.,Orta,🌾,Afyonkarahisar,Bayat
Buğday,Tahıl,89.6,450,Yağmurlama,"Ekim, Kasım","Haziran, Temmuz","Sonbaharda ekilir, ilkbaharda gübrelenir. Kuru tarıma uygun.",Orta,🌾,Afyonkarahisar,Bayat
Soğan,Sebze,89.1,400,Yağmurlama veya Damla,"Mart, Nisan, Eylül, Ekim","Haziran, Temmuz, Ağustos",Kuru ve sıcak iklimde iyi verim. İç Anadolu'ya uygun.,Orta,🧅,Afyonkarahisar,Bayat
Üzüm (Bağ),Meyve,60.0,450,Damla,"Şubat, Mart","Ağustos, Eylül, Ekim",Kuraklığa dayanıklı. Az sulama ile kaliteli ürün. Budama kritik.,Yüksek,🍇,Afyonkarahisar,Bayat
Zeytin,Meyve,59.2,350,Damla,"Ekim, Kasım","Ekim, Kasım, Aralık",Akdeniz iklimi sever. Az bakım. Dondan korunmalı (-7°C altı tehlikeli).,Yüksek,🫒,Afyonkarahisar,Bayat
